index,time_sec,joint_1_rad,joint_1_deg,joint_1_pwm_us,joint_2_rad,joint_2_deg,joint_2_pwm_us,joint_3_rad,joint_3_deg,joint_3_pwm_us,joint_4_rad,joint_4_deg,joint_4_pwm_us
37,3.681989224,0.18149998038185738,10.399182857587668,1615,0.5,28.64788975654116,1593,0.49999999999999994,28.647889756541158,2132,0.0,0.0,500
38,3.781989224,0.21599997292829476,12.375886823731328,1637,0.5,28.64788975654116,1593,0.49999999999999994,28.647889756541158,2132,0.0,0.0,500
39,3.881989224,0.25349996370203076,14.524478026845927,1661,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
40,3.981989224,0.29399995316350885,16.84495649331293,1687,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
41,4.081989224,0.3374999414100674,19.337322228709425,1714,0.5,28.64788975654116,1593,0.49999999999999994,28.647889756541158,2132,0.0,0.0,500
42,4.1819892240000005,0.38399992843826325,22.00157523283812,1744,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
43,4.281989224,0.433499914928418,24.83771554467858,1776,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
44,4.381989224,0.48599990066128085,27.84574315166866,1809,0.5,28.64788975654116,1593,0.49999999999999994,28.647889756541158,2132,0.0,0.0,500
45,4.481989223999999,0.5414998848654674,31.025658009611284,1844,0.5,28.64788975654116,1593,0.49999999999999994,28.647889756541158,2132,0.0,0.0,500
46,4.581989224,0.5999998680848042,34.377460149665424,1882,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
47,4.6819892240000005,0.661499849965575,37.90114955156462,1921,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
48,4.781989224,0.7259998303251254,41.59672620484356,1962,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
49,4.881989224,0.7922736370550568,45.39393562273435,2004,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
50,4.981989223999999,0.8559377236186735,49.041619089385115,2045,0.5,28.64788975654116,1593,0.4999999999999999,28.647889756541154,2132,0.0,0.0,500
